id,product_name,product__version,category
131,Tin,2.2.0,1
132,Subin,9.19,5
133,Solarbreeze,6.02,5
134,Bigtax,1.93,9
135,Transcof,0.99,1
136,Wrapsafe,6.8.6,1
137,Y-find,1.71,2
138,Domainer,0.66,5
139,Bitwolf,6.6,10
140,Bitwolf,0.4.1,6
141,Bitwolf,0.54,1
142,Gembucket,0.52,1
143,Keylex,0.8.3,9
144,Duobam,0.3.3,3
145,Lotlux,0.7.1,5
146,Matsoft,7.3,9
147,Job,3.5.2,8
148,Bigtax,0.93,7
149,Domainer,9.0.8,1
150,Temp,0.5.3,4
151,Bytecard,0.6.2,4
152,Zaam-Dox,1.52,9
153,Matsoft,7.49,4
154,Zaam-Dox,0.35,5
155,Span,5.20,5
156,Solarbreeze,2.0,5
157,Flowdesk,0.7.1,3
158,Otcom,0.17,9
159,Bamity,5.8.8,2
160,Cookley,0.59,10
161,Transcof,0.6.6,5
162,Lotlux,9.6.6,6
163,Subin,5.5,6
164,Bitwolf,0.21,2
165,Tampflex,3.9.2,8
166,Trippledex,8.72,2
167,Bamity,0.3.2,1
168,Home Ing,4.3.1,9
169,Sonsing,3.42,10
170,Domainer,0.41,9
171,Bigtax,7.7.5,3
172,Voyatouch,3.1,8
173,Latlux,0.4.0,8
174,Overhold,0.11,3
175,Job,8.25,7
176,Andalax,9.79,5
177,Voltsillam,0.44,5
178,Sonair,4.00,6
179,Pannier,8.78,2
180,Fintone,8.7,4
181,Bytecard,8.1,4
182,Tres-Zap,9.28,9
183,Job,7.2.7,10
184,Y-Solowarm,0.71,1
185,Fintone,6.4,5
186,Viva,9.7.9,7
187,Greenlam,1.7,1
188,Mat Lam Tam,6.6,4
189,Asoka,6.0,7
190,Veribet,5.4.3,1
191,Sonsing,9.3.4,8
192,Konklux,0.42,3
193,Lotstring,7.3,9
194,Pannier,0.93,5
195,Bigtax,3.3,8
196,Ventosanzap,0.5.8,2
197,Otcom,0.33,10
198,It,0.5.1,3
199,Overhold,5.9.7,8
200,Flowdesk,0.97,10
201,Sonair,0.22,7
202,Daltfresh,8.6.2,4
203,Tresom,0.31,3
204,Ventosanzap,9.9.6,4
205,Tresom,3.3,8
206,Kanlam,0.2.8,2
207,Rank,7.0.0,2
208,Greenlam,7.9,10
209,Home Ing,7.08,4
210,Ventosanzap,0.47,2
211,Zoolab,5.6,10
212,Home Ing,5.53,9
213,Andalax,0.60,10
214,Alpha,9.7.5,7
215,Aerified,8.9.4,6
216,Zoolab,6.3.0,2
217,Ronstring,0.3.3,9
218,Hatity,8.2.8,9
219,Asoka,7.9,10
220,Zontrax,0.8.2,4
221,Voltsillam,3.05,1
222,Cardify,6.5,2
223,Daltfresh,0.5.2,10
224,Tres-Zap,0.46,3
225,Solarbreeze,7.9,8
226,Lotstring,0.57,9
227,Matsoft,1.3,8
228,Toughjoyfax,0.34,8
229,Regrant,7.2.5,9
230,Bytecard,0.98,2
231,Zontrax,6.6.2,4
232,Asoka,9.3.1,6
233,Fixflex,0.3.6,1
234,Toughjoyfax,5.17,9
235,Zontrax,0.4.4,4
236,Latlux,0.15,5
237,Veribet,9.5,5
238,Sub-Ex,7.91,5
239,Andalax,1.6.6,8
240,Tres-Zap,4.7,4
241,Namfix,0.8.3,3
242,Latlux,0.2.5,9
243,Stim,9.8.9,8
244,Alphazap,8.83,3
245,Keylex,4.9,5
246,Ronstring,7.68,8
247,Domainer,0.1.6,10
248,Cardguard,1.67,3
249,Otcom,1.8.5,10
250,Cookley,3.0,1
251,Bitchip,0.3.4,8
252,Gembucket,1.7.0,4
253,Bigtax,2.44,2
254,Mat Lam Tam,0.4.4,5
255,Kanlam,6.83,10
256,Bamity,9.02,3
257,Veribet,0.1.4,9
258,Rank,6.8.7,7
259,Redhold,9.2,4
260,Treeflex,7.6.0,4
261,Keylex,7.1.5,1
262,Overhold,5.1,1
263,Y-find,4.92,9
264,Mat Lam Tam,6.9,4
265,Stim,0.8.7,3
266,Tempsoft,7.4.0,5
267,Zaam-Dox,4.5,1
268,Fixflex,8.4.3,9
269,Tres-Zap,0.31,10
270,Aerified,0.3.7,2
271,Lotlux,8.3.2,3
272,Voltsillam,0.89,8
273,Zaam-Dox,2.06,10
274,Wrapsafe,5.93,1
275,Stim,0.39,8
276,Alphazap,4.9.8,5
277,Mat Lam Tam,3.26,3
278,Tampflex,8.7,1
279,Hatity,0.83,10
280,Toughjoyfax,4.27,7
281,Cardify,9.41,8
282,Fixflex,1.3.2,9
283,Bamity,3.4.4,3
284,Flexidy,0.33,1
285,Bytecard,0.9.1,4
286,Veribet,0.9.0,9
287,Tin,9.3.0,3
288,Keylex,0.6.4,2
289,Zaam-Dox,4.4.2,8
290,Y-Solowarm,8.2.1,10
291,Fixflex,0.90,1
292,Konklux,1.4.8,2
293,Cardguard,2.0,10
294,Tresom,3.4.9,5
295,Solarbreeze,9.1,7
296,Sub-Ex,6.3,10
297,Alpha,2.2,9
298,Lotstring,4.2,10
299,Gembucket,6.0,1
300,Duobam,6.44,10
301,Daltfresh,7.0,10
302,Konklab,6.9,6
303,Span,7.13,1
304,Overhold,2.92,4
305,Matsoft,0.3.2,5
306,Hatity,7.5.2,2
307,Fixflex,0.36,6
308,Flowdesk,0.5.4,5
309,Keylex,0.81,6
310,Aerified,0.66,8
311,Viva,2.6,7
312,Stringtough,0.28,1
313,Tresom,2.1,2
314,Biodex,4.4.8,8
315,Bitchip,9.6,3
316,Fintone,3.5.5,4
317,Transcof,1.80,10
318,Fintone,1.83,1
319,Veribet,0.5.2,10
320,Sonsing,3.0,6
321,Y-Solowarm,0.63,5
322,Job,6.80,1
323,Y-find,5.0,4
324,Ronstring,9.2.6,7
325,Flexidy,9.3,2
326,Pannier,6.3.4,6
327,Subin,1.5.9,8
328,Hatity,2.33,9
329,Namfix,0.6.7,10
330,Gembucket,3.8.8,3
331,Gembucket,7.4,9
332,Flowdesk,0.8.5,9
333,Sonsing,1.0.7,4
334,Tresom,0.2.7,7
335,Daltfresh,0.32,8
336,Konklab,0.30,4
337,Tin,0.17,3
338,Matsoft,2.6.5,9
339,Tampflex,5.2,10
340,Stronghold,7.53,9
341,Rank,0.7.6,5
342,Zaam-Dox,0.3.8,3
343,Namfix,8.79,8
344,Temp,1.0,2
345,Toughjoyfax,0.26,3
346,Alphazap,0.2.7,2
347,Ventosanzap,0.9.8,6
348,Treeflex,0.74,6
349,Matsoft,8.38,2
350,Trippledex,0.4.6,4
351,Tresom,6.0,4
352,Flexidy,7.8.2,10
353,Tin,0.14,7
354,Mat Lam Tam,3.8.0,10
355,Home Ing,5.1,7
356,Keylex,0.57,3
357,Zathin,1.7,8
358,Fix San,6.4,9
359,Zamit,0.5.1,7
360,Solarbreeze,0.4.2,8
361,Greenlam,0.54,10
362,Zoolab,0.31,5
363,Domainer,1.06,9
364,Treeflex,0.30,3
365,Bitwolf,0.1.3,4
366,Domainer,3.95,10
367,Rank,0.29,6
368,Wrapsafe,7.09,4
369,Tin,7.6,1
370,Konklab,2.25,1
371,Asoka,0.82,2
372,Keylex,3.6.7,6
373,Y-find,0.2.7,7
374,Sonsing,4.20,8
375,Tres-Zap,5.6,6
376,Opela,1.3.6,5
377,Fix San,5.66,5
378,Vagram,0.2.4,1
379,Zathin,8.3.0,6
380,Overhold,7.4.6,9
381,Flowdesk,2.1,7
382,Bigtax,9.94,3
383,Stim,0.1.5,3
384,Viva,7.4.5,8
385,Fix San,0.94,8
386,Trippledex,4.7,5
387,Bigtax,8.7.5,5
388,Fixflex,0.55,2
389,Redhold,4.5,7
390,Temp,3.85,6
391,Sonsing,0.53,8
392,Transcof,0.2.3,4
393,Home Ing,7.2.3,8
394,Bitwolf,7.8.7,1
395,Redhold,0.4.3,7
396,Tampflex,3.62,1
397,Tin,0.1.4,9
398,Zaam-Dox,0.47,7
399,Pannier,6.3.0,1
400,Prodder,0.20,6
401,Zontrax,7.9.6,6
402,Alpha,2.02,5
403,Quo Lux,0.4.9,8
404,Flowdesk,8.92,2
405,Flexidy,0.94,10
406,Otcom,0.47,8
407,Ventosanzap,4.3,8
408,Holdlamis,7.0.1,1
409,Zontrax,1.4,1
410,Matsoft,6.9,7
411,Ronstring,0.4.8,4
412,Kanlam,6.0.8,10
413,Asoka,2.07,6
414,Otcom,9.5.5,8
415,Redhold,0.32,10
416,Hatity,6.82,5
417,Gembucket,8.3.4,8
418,Voltsillam,7.1,8
419,Flexidy,9.0,6
420,Lotlux,4.4,5
421,Domainer,9.9,3
422,Cardify,4.4,2
423,Biodex,0.81,1
424,Tresom,0.58,10
425,Stim,5.04,10
426,Overhold,8.1,1
427,Voltsillam,0.6.6,7
428,Greenlam,4.0,1
429,Stim,8.3.5,7
430,Transcof,0.13,1
431,Temp,0.8.3,1
432,Opela,2.3.2,3
433,Ronstring,0.96,9
434,Konklux,0.29,10
435,Prodder,0.1.7,6
436,Otcom,1.24,4
437,Bigtax,6.47,3
438,Konklab,5.90,9
439,Sonair,0.8.1,3
440,Toughjoyfax,1.5.9,5
441,Bamity,0.7.3,8
442,Viva,0.11,2
443,Trippledex,9.2.5,5
444,Bytecard,0.7.6,4
445,Voyatouch,8.2,9
446,Sonair,4.1.9,5
447,Holdlamis,0.23,5
448,Cardguard,0.13,2
449,Job,4.57,4
450,Fintone,0.7.5,3
451,Zontrax,4.1,10
452,Stronghold,0.4.7,7
453,Matsoft,2.96,4
454,Duobam,8.6.1,9
455,Y-Solowarm,7.6.3,5
456,Sub-Ex,0.5.0,5
457,Vagram,0.43,9
458,Stim,5.46,9
459,Fixflex,2.5,3
460,Sonair,0.55,3
461,Domainer,0.90,7
462,Fixflex,6.77,6
463,Y-Solowarm,1.1.3,8
464,Bamity,7.55,5
465,Keylex,0.4.7,6
466,Rank,0.37,9
467,Namfix,0.7.1,3
468,Bitwolf,5.88,2
469,Tempsoft,0.48,8
470,Holdlamis,7.65,10
471,Konklab,1.70,6
472,Tin,2.9.7,1
473,Bamity,0.51,8
474,Aerified,0.8.9,8
475,Vagram,0.46,3
476,Greenlam,0.3.1,4
477,Toughjoyfax,6.96,5
478,Stronghold,7.44,2
479,Daltfresh,5.9.1,5
480,Home Ing,1.4.4,10
481,Domainer,1.56,3
482,Wrapsafe,3.6.5,8
483,Span,0.8.5,8
484,Temp,0.14,4
485,Zontrax,0.6.1,1
486,Stronghold,5.9.6,6
487,Sonsing,0.9.6,5
488,Domainer,5.8,2
489,Namfix,0.87,10
490,Home Ing,0.88,1
491,Fintone,3.1.1,5
492,It,0.88,9
493,Tampflex,5.9.7,5
494,Pannier,3.4.2,6
495,Tin,1.09,10
496,Flowdesk,7.69,3
497,Flexidy,0.2.4,5
498,Zathin,8.61,6
499,Vagram,9.1,6
500,Opela,8.18,1
501,Trippledex,0.7.4,7
502,Tempsoft,3.63,2
503,Gembucket,0.1.4,5
504,Tin,2.25,10
505,Subin,2.68,7
506,Transcof,0.60,9
507,Y-Solowarm,0.4.3,1
508,Zathin,8.91,9
509,Biodex,2.10,6
510,Zoolab,2.7,6
511,Overhold,0.76,8
512,Job,0.78,8
513,Mat Lam Tam,9.5,1
514,Asoka,0.7.1,1
515,It,2.6.5,8
516,Transcof,0.62,6
517,Sonsing,0.33,10
518,Tresom,6.74,9
519,Toughjoyfax,3.4,4
520,Transcof,0.5.1,2
521,Y-Solowarm,1.0.1,3
522,Biodex,0.9.6,3
523,Alpha,1.1,4
524,Namfix,6.40,2
525,Stringtough,3.9,2
526,Job,8.5,4
527,Y-find,1.7.2,1
528,Voltsillam,2.8,1
529,Quo Lux,0.67,5
530,Zontrax,9.8,3
531,Fixflex,4.8.0,6
532,Latlux,0.18,4
533,Overhold,0.50,2
534,Bigtax,4.5,7
535,Pannier,0.96,4
536,Mat Lam Tam,8.33,6
537,Flexidy,0.5.0,10
538,Duobam,0.9.2,7
539,Stim,5.92,2
540,Span,0.9.4,7
541,Latlux,1.99,10
542,Fix San,5.8.7,5
543,Stim,2.39,2
544,Zamit,6.5.8,8
545,Fintone,0.90,3
546,Cardify,5.7,9
547,Bamity,6.3.1,7
548,Duobam,0.55,7
549,Bigtax,1.6.6,7
550,Y-find,0.97,10
551,Keylex,0.75,4
552,Bigtax,0.56,1
553,Tampflex,1.16,7
554,Alphazap,0.26,2
555,Matsoft,0.81,2
556,Bitchip,9.7.3,7
557,Tin,0.77,8
558,Cardguard,0.48,3
559,Temp,6.83,2
560,Sonair,4.66,5
561,Lotlux,0.28,7
562,Y-Solowarm,0.9.3,8
563,Zamit,0.6.7,6
564,Prodder,4.06,4
565,Zamit,8.58,6
566,Rank,7.5,7
567,Quo Lux,0.4.4,4
568,Tresom,7.2.7,7
569,Vagram,6.2,4
570,Stronghold,0.3.8,6
571,Latlux,4.4.9,2
572,Namfix,5.35,1
573,Konklux,5.3,1
574,Lotlux,7.9.6,5
575,Bitchip,4.8.9,8
576,Cookley,4.70,5
577,Home Ing,3.51,10
578,Bytecard,5.3.5,9
579,Job,2.0.2,3
580,Toughjoyfax,2.7,3
581,Solarbreeze,0.89,1
582,Tin,7.5.3,6
583,Subin,5.19,4
584,Sonair,0.47,6
585,Asoka,0.2.2,5
586,Konklab,8.68,3
587,Tampflex,6.1,5
588,Prodder,0.51,8
589,Flexidy,1.45,8
590,Asoka,8.85,4
591,Y-Solowarm,0.4.3,7
592,Ronstring,0.52,7
593,Alpha,8.1.4,7
594,Ronstring,3.52,2
595,Job,8.09,3
596,Zathin,0.38,3
597,Span,3.2.2,8
598,Zontrax,1.7,1
599,Mat Lam Tam,3.8.5,5
600,Aerified,5.91,10
601,Holdlamis,8.3.4,10
602,Sonair,0.7.2,8
603,Tempsoft,0.3.5,8
604,Flexidy,9.25,8
605,Viva,9.4,10
606,Viva,9.5,9
607,Keylex,1.24,2
608,Lotstring,0.3.7,5
609,Subin,0.32,4
610,Toughjoyfax,0.3.3,9
611,Rank,4.0,2
612,Subin,6.4.0,8
613,Keylex,9.32,4
614,Cardguard,0.92,10
615,Tres-Zap,1.3,9
616,Stim,9.6.8,6
617,Ventosanzap,0.72,4
618,Tin,0.86,7
619,Daltfresh,0.5.4,9
620,Tin,0.19,3
621,Stringtough,0.7.6,8
622,Konklux,7.7.7,6
623,Y-Solowarm,3.6,9
624,Vagram,5.55,2
625,Viva,0.66,5
626,Mat Lam Tam,5.4,7
627,Trippledex,5.27,1
628,Hatity,0.51,9
629,Zamit,6.64,10
630,Cardguard,0.8.5,10
631,Alpha,6.0,1
632,It,1.55,8
633,Mat Lam Tam,5.91,10
634,Bamity,3.7.1,3
635,Holdlamis,3.6,3
636,Mat Lam Tam,8.0,10
637,Veribet,5.76,6
638,Temp,5.3.8,9
639,Regrant,5.49,1
640,Ventosanzap,0.36,1
641,Redhold,0.17,4
642,Aerified,0.5.9,7
643,It,0.7.8,6
644,Stim,1.1,5
645,Vagram,2.4,3
646,Ronstring,8.03,7
647,Stim,0.5.4,4
648,Rank,3.6.5,8
649,Kanlam,4.9,8
650,Lotlux,3.1,6
651,Vagram,0.29,5
652,Subin,0.7.7,9
653,Span,0.3.0,4
654,Ventosanzap,0.8.5,6
655,Sonsing,0.78,6
656,Span,8.3.0,6
657,Bamity,3.8.9,6
658,Cardguard,0.6.1,4
659,Otcom,6.0,1
660,Gembucket,0.9.0,1
661,It,0.6.5,10
662,Konklux,3.21,5
663,Flexidy,0.91,8
664,Viva,7.97,9
665,Mat Lam Tam,6.6,6
666,Pannier,0.91,1
667,Cookley,0.57,6
668,Gembucket,9.8,6
669,Tres-Zap,2.9,10
670,Zontrax,5.2,8
671,Subin,0.3.1,5
672,Bamity,7.7,5
673,Konklux,0.5.6,1
674,Lotstring,7.6,10
675,Opela,4.90,2
676,Fix San,4.96,5
677,Job,0.5.9,2
678,Voltsillam,0.97,9
679,Lotlux,2.5.8,1
680,Tres-Zap,5.16,1
681,Cardify,0.1.9,6
682,Y-Solowarm,0.25,10
683,Bamity,0.4.5,4
684,Pannier,9.84,9
685,Overhold,3.07,2
686,Stringtough,8.47,2
687,Opela,3.9,7
688,Flexidy,0.9.9,2
689,Biodex,5.1.5,10
690,Vagram,5.7,4
691,Tresom,4.2.8,7
692,Tempsoft,9.3.3,8
693,Ronstring,0.4.1,2
694,Holdlamis,0.8.7,9
695,Lotstring,7.24,9
696,Bigtax,8.0.1,1
697,Wrapsafe,3.39,3
698,Bigtax,0.55,7
699,Daltfresh,6.33,9
700,Vagram,9.8.9,3
701,Home Ing,0.1.7,1
702,Konklux,4.66,10
703,Rank,7.5.2,4
704,Redhold,0.36,8
705,Greenlam,1.7.2,6
706,Tin,5.3,7
707,Tin,8.2.7,5
708,Aerified,6.24,9
709,Ronstring,9.6,2
710,Fix San,2.73,9
711,Wrapsafe,4.8,4
712,Alpha,7.41,8
713,Sub-Ex,7.0,2
714,Home Ing,0.4.3,1
715,Temp,3.2.8,4
716,Regrant,0.48,2
717,Quo Lux,5.64,5
718,Lotstring,0.62,4
719,It,6.9,6
720,Zamit,6.24,7
721,Holdlamis,0.8.9,8
722,Rank,1.1,5
723,Namfix,2.4.9,3
724,Span,7.0.3,2
725,Keylex,5.4.6,6
726,Wrapsafe,0.9.3,1
727,Trippledex,0.8.8,3
728,Transcof,0.7.2,10
729,Gembucket,7.2.8,10
730,Y-Solowarm,1.5.5,1
731,Namfix,8.2,5
732,Sonair,0.8.7,8
733,Cardguard,1.9.4,8
734,Ventosanzap,0.6.5,4
735,Cookley,5.34,9
736,Solarbreeze,3.59,3
737,Kanlam,3.7.2,9
738,Hatity,8.3,9
739,Kanlam,6.4,8
740,Bamity,0.4.1,1
741,Ronstring,7.55,5
742,Regrant,9.0.8,5
743,It,0.8.4,5
744,Y-find,6.5,6
745,Zamit,2.19,5
746,Zamit,2.6.9,1
747,Ventosanzap,5.63,1
748,Holdlamis,7.55,4
749,Alphazap,7.87,1
750,Asoka,4.5.2,1
751,Matsoft,8.6,1
752,Opela,0.97,5
753,Tampflex,2.0.5,4
754,Sub-Ex,0.94,1
755,Ventosanzap,0.25,6
756,Cardguard,0.6.7,3
757,Flexidy,9.4,9
758,Konklab,9.09,8
759,Wrapsafe,9.2,4
760,Zoolab,9.22,1
761,Redhold,1.82,10
762,Zoolab,8.9,5
763,Hatity,6.4,5
764,Kanlam,9.9,7
765,Andalax,0.2.2,4
766,Zaam-Dox,0.6.5,7
767,Latlux,0.6.5,7
768,Viva,9.6.5,5
769,Bigtax,0.25,8
770,Tres-Zap,9.17,3
771,Zamit,0.72,7
772,Fixflex,0.53,3
773,Flowdesk,4.0.2,5
774,Fix San,8.2.1,3
775,Home Ing,0.28,4
776,Opela,0.4.7,9
777,Tin,9.2.3,5
778,Matsoft,0.38,1
779,Cardify,0.8.6,9
780,Konklux,2.6,4
781,Matsoft,3.81,6
782,Quo Lux,0.70,8
783,Asoka,3.73,5
784,Holdlamis,3.6.9,8
785,Aerified,0.59,3
786,Lotstring,0.8.7,1
787,Rank,0.31,1
788,Latlux,0.9.3,4
789,Trippledex,7.3.9,4
790,Alphazap,3.7,6
791,Voltsillam,7.4,4
792,Tin,2.84,2
793,Bigtax,9.7.6,6
794,Treeflex,9.91,8
795,Voyatouch,6.3,3
796,Wrapsafe,7.18,5
797,Zaam-Dox,2.02,8
798,Sonsing,0.16,9
799,Pannier,0.4.2,6
800,Aerified,8.7,9
801,Tres-Zap,6.0.0,5
802,Bitwolf,4.67,4
803,Flowdesk,6.4.3,5
804,Treeflex,1.20,8
805,Otcom,1.21,4
806,Quo Lux,1.4.6,1
807,Zathin,0.9.1,9
808,Lotlux,0.9.2,9
809,Prodder,9.3.5,2
810,Cookley,0.9.0,5
811,Transcof,9.1,6
812,Trippledex,8.2,2
813,Tresom,3.21,10
814,Home Ing,0.21,8
815,Solarbreeze,0.29,10
816,Cardguard,3.0,9
817,Duobam,7.7,7
818,Temp,0.73,4
819,Cardguard,5.7.1,6
820,Tampflex,8.5,6
821,Alpha,2.1,3
822,Bitchip,9.2,5
823,Kanlam,0.4.9,7
824,Zathin,7.8.4,1
825,Tresom,7.26,6
826,Cardguard,5.3.8,4
827,Cookley,7.33,7
828,Namfix,3.02,1
829,Fix San,7.86,10
830,Konklab,0.48,6
831,Gembucket,0.28,8
832,Quo Lux,7.5.3,9
833,Lotstring,3.5,9
834,Tres-Zap,6.75,10
835,Fix San,0.2.6,9
836,Zoolab,0.4.3,5
837,Lotlux,5.3.4,3
838,Fintone,0.87,3
839,Home Ing,0.21,5
840,Pannier,0.78,9
841,Fix San,0.81,3
842,Solarbreeze,6.36,9
843,Fixflex,0.4.6,2
844,Pannier,2.12,4
845,Duobam,2.7.1,3
846,Flexidy,0.22,8
847,Overhold,3.83,6
848,Bitwolf,0.42,8
849,Bigtax,0.58,5
850,Biodex,5.3.6,5
851,Temp,5.09,1
852,Hatity,4.20,10
853,Toughjoyfax,0.67,9
854,Mat Lam Tam,5.98,7
855,Transcof,0.74,10
856,Zamit,1.70,9
857,Voltsillam,5.3,5
858,Andalax,0.9.2,1
859,Viva,0.2.6,8
860,Cardguard,0.41,5
861,Andalax,0.8.5,2
862,Voyatouch,0.6.2,2
863,Temp,0.9.2,2
864,Bytecard,0.38,5
865,Daltfresh,8.7.9,6
866,Fixflex,8.9.8,5
867,Overhold,1.2,6
868,Y-find,8.6,4
869,Solarbreeze,3.6,6
870,Tresom,5.9,6
871,Alphazap,9.8.9,3
872,Ronstring,0.90,2
873,Bigtax,8.6.5,7
874,Zaam-Dox,0.44,3
875,Opela,3.84,3
876,Regrant,7.2,3
877,Sonsing,1.2,10
878,Tempsoft,3.4.9,5
879,Duobam,0.56,3
880,Bigtax,7.11,10
881,Flowdesk,6.8,5
882,Konklab,4.0.2,9
883,Redhold,0.81,1
884,Bitwolf,4.6.2,2
885,Vagram,7.0.4,5
886,Otcom,0.2.7,1
887,Span,0.8.9,1
888,Konklux,7.8,2
889,Ventosanzap,3.8.0,4
890,Subin,8.6,5
891,Alphazap,0.12,10
892,Redhold,0.53,2
893,Toughjoyfax,0.7.7,9
894,Redhold,3.4.5,6
895,Toughjoyfax,8.7,3
896,Tresom,4.83,4
897,Alphazap,0.63,9
898,Alpha,9.4.2,9
899,Duobam,0.96,7
900,Temp,0.2.4,10
901,Aerified,0.5.8,5
902,Gembucket,0.18,8
903,Sonsing,0.16,1
904,Andalax,0.4.0,10
905,Asoka,4.28,3
906,Keylex,0.37,2
907,Asoka,0.7.3,4
908,Stim,2.90,7
909,Cardify,0.1.4,5
910,Wrapsafe,6.8,7
911,Bitwolf,5.0.9,3
912,Cardify,8.50,7
913,Gembucket,7.0.4,8
914,Fix San,0.5.1,3
915,Quo Lux,0.85,7
916,Ronstring,3.87,6
917,Asoka,0.6.1,3
918,Cookley,4.50,7
919,Bamity,1.86,1
920,Sonsing,4.3.0,2
921,Asoka,0.44,6
922,Home Ing,8.5,2
923,Zamit,2.59,7
924,Hatity,0.4.5,6
925,Span,1.3.8,3
926,Sonair,8.58,5
927,Temp,2.0.3,4
928,Solarbreeze,5.98,5
929,Zaam-Dox,7.2.8,8
930,Toughjoyfax,0.7.4,4
931,Daltfresh,0.4.3,3
932,Job,0.4.4,9
933,Kanlam,0.36,5
934,Quo Lux,4.65,7
935,Holdlamis,0.80,8
936,Viva,4.07,6
937,Stim,4.5,4
938,Bytecard,0.7.4,7
939,Zaam-Dox,7.1.0,10
940,Stringtough,0.2.0,7
941,Transcof,1.1,4
942,Asoka,0.46,4
943,Daltfresh,1.8,3
944,Duobam,8.08,1
945,Tempsoft,2.7.8,10
946,Biodex,0.47,9
947,Stim,0.82,3
948,Bitwolf,1.8,5
949,Alpha,6.97,2
950,Ventosanzap,0.8.2,4
951,Trippledex,7.6.6,5
952,Keylex,0.49,4
953,Alpha,7.6.5,6
954,Konklux,5.7,6
955,Daltfresh,0.1.3,5
956,Home Ing,0.7.6,9
957,Trippledex,0.4.6,1
958,Greenlam,1.28,3
959,Bytecard,9.82,3
960,Latlux,5.2,4
961,Bigtax,5.32,6
962,Keylex,6.06,8
